Surface Word,Gikuyu Lemma,English translation,Glossing,Match Type
gakunye,kuna,[Translation Missing],gakuna V;PST;REC;3;SG,No Lexicon Match
ago,wago,[Translation Missing],ago PRO;3;SG,No Lexicon Match
ndagathimaga,gathi,"bead, bead(s)",gathimaga V;PST,Substring Overlap
munene,nene,"great, powerful, chief, large, master",nene ADJ;BANTU1,PanLex Exact Match
mahuragwo,hura,"wash, wash (clothes), rub, beat",mahuragwo N;PL;BANTU6,Substring Overlap
thatu,thatu,three,thatu PRO;INT;INTENS,PanLex Exact Match
mucuni,mucuni,[Translation Missing],mucuni N;SG;BANTU1,No Lexicon Match
ruga,ruga,"cook, stir",ruga V;NFIN,PanLex Exact Match
Muukiri,ukiri,[Translation Missing],ukiri N;SG;BANTU1,No Lexicon Match
Cira,cira,[Translation Missing],cira,No Lexicon Match
gutuura,gutuura,[Translation Missing],gutuura V;PRS,No Lexicon Match
akome,koma,[Translation Missing],koma V;PST;REC;3;SG,No Lexicon Match
Garurira,rira,"cry, wail, trickle away, disappear, fade",Garurira,Substring Overlap
ngombe,ngombe,[Translation Missing],ngombe N;SG;BANTU10,No Lexicon Match
nguru,nguru,"old, tortoise",nguru N;SG;BANTU9,PanLex Exact Match
Muciari,ciari,"parent, parent (he who begets)",uMuciari N;SG;BANTU1,PanLex Exact Match
Muhenia,heni,lightning,henia V;PRS;HAB;3;SG,Substring Overlap
Gitiiro,gitiiro,[Translation Missing],Gitiiro N;SG;BANTU10,No Lexicon Match
akuaga,aga,[Translation Missing],aga V;PRS;HAB;3;SG,No Lexicon Match
mwenegwo,enegwo,[Translation Missing],mwenegwo N;SG;BANTU1,No Lexicon Match
athinirie,thinira,[Translation Missing],thiniria V;PST;REC;3;SG,No Lexicon Match
uthingataga,hinga,obstruct,thingataga V;PRS,Substring Overlap
rukomo,rukomo,[Translation Missing],rukomo N;SG;BANTU11,No Lexicon Match
gukunga,kungania,"assemble, collect",gukunga V;PRS,Substring Overlap
guitwo,guitwo,[Translation Missing],guitwo N;SG;BANTU14,No Lexicon Match
irata,rata,[Translation Missing],irata,No Lexicon Match
Cia,cia,[Translation Missing],Cia DET;PROX;BANTU7,No Lexicon Match
itimu,itimu,spear,itimu N;SG;BANTU9,PanLex Exact Match
kariire,ria,"milk, breast, lake",ria V;PST;REC;3;SG,PanLex Exact Match
Kiaga,aga,[Translation Missing],aga V;PRS;HAB;3;SG,No Lexicon Match
Mitheko,theko,[Translation Missing],uMitheko N;PL;BANTU4,No Lexicon Match
ukabi,ukabi,[Translation Missing],ukabi N;SG;BANTU1,No Lexicon Match
kumenyuka,menyuka,[Translation Missing],menyuka V;NFIN,No Lexicon Match
Ithimbaga,imba,"corpse, swell",thimbaga V;PRS,Substring Overlap
muthuri,huri,lung,muthuri N;SG;BANTU1,Substring Overlap
kamwe,kamwe,[Translation Missing],kamwe,No Lexicon Match
ikiunwo,unwo,[Translation Missing],unwo V;PRS;HAB;3;SG,No Lexicon Match
karere,ongerera,increase,rera,Substring Overlap
athinjaga,hinja,"become lean, grow thin",thinjaga V;PRS,Substring Overlap
bata,bata,duck,BANTU2,PanLex Exact Match
irugite,ruga,"cook, stir",ruga V;PST;REC;3;SG,PanLex Exact Match
hakuhi,hakuhi,[Translation Missing],hakuhi N;SG;BANTU1,No Lexicon Match
kimera,mera,"grow, grow (of plants)",mera V;PRS;HAB;3;SG,PanLex Exact Match
itikinyagira,nyagira,[Translation Missing],itikinyagira N;SG;BANTU9,No Lexicon Match
undu,undu,affair,undu N;PL;BANTU2,PanLex Exact Match
arugaga,ruga,"cook, stir",rugaga V;PRS,Substring Overlap
Hinga,hinga,obstruct,hinga V;PRS,PanLex Exact Match
uraga,uraga,"kill, break, snap",uraga,PanLex Exact Match
mugeni,mugeni,"guest, stranger",muga V;PRS,PanLex Exact Match
Ageni,aga,[Translation Missing],aga V;PRS;HAB;3;SG,No Lexicon Match
ikurumaga,ruma,"bite, abuse",rumaga V;NFIN,Substring Overlap
mambo,ambo,peg,mambo,Substring Overlap
ndahuhitaga,hita,"hunting, swear",huhitaga V;PST;REC;1;SG,Substring Overlap
ndaimagwo,imagwo,[Translation Missing],ndaimagwo N;PL;BANTU10,No Lexicon Match
Mburi,mburi,goat,uMburi N;SG;BANTU1,PanLex Exact Match
tuhu,tuhu,[Translation Missing],tuhu PRO;INT;INTENS,No Lexicon Match
nditukanagio,tukanagio,[Translation Missing],nditukanagio N;SG;BANTU10,No Lexicon Match
Ciatura,tura,town,Ciatura,PanLex Exact Match
Mbu,bumbui,spider,mbu N;SG;BANTU1,Substring Overlap
matu,matu,cloud,matu N;PL;BANTU6,PanLex Exact Match
Kwaria,ariary ya bukini,Malagasy Ariary,Kwaria V;PRS;HAB;3;SG,Substring Overlap
Mugiri,giri,"two, warthog, enclosure, fence",uMugiri N;SG;BANTU1,Substring Overlap
ruthia,ruthia,keep livestock,ruthia V;PRS,PanLex Exact Match
uhunii,hunia,satisfy,uhunii N;SG;BANTU1,PanLex Exact Match
njuu,njuu,[Translation Missing],njuu N;SG;BANTU9,No Lexicon Match
Maundu,undu,affair,undu N;PL;BANTU2,PanLex Exact Match
ititahaga,titahaga,[Translation Missing],ititahaga N;SG;BANTU9,No Lexicon Match
ithe,tha,"leave, permission",tha V;PST;REC;3;SG,PanLex Exact Match
mai,mai,"water, dung, excrement, water",mai DET;POSS;PSS1P;BANTU6,PanLex Exact Match
etaga,gatagati,"inside, in the middle of",etaga V;PRS,Substring Overlap
Mukami,umukami,[Translation Missing],uMukami,No Lexicon Match
gukiura,kiura,frog,gukiura V;PRS,Substring Overlap
maiganaine,gana,hundred,iganaine N;PL;BANTU6,Substring Overlap
gutinio,gutinio,[Translation Missing],gutinio N;SG;BANTU14,No Lexicon Match
uturaga,tura,town,turaga V;PRS,Substring Overlap
amurutaga,muru,mosquito,murutaga V;PRS,Substring Overlap
rweru,mundu mweru,white man,rweru DET;POSS;PSS1P;BANTU11,Substring Overlap
mathina,thina,[Translation Missing],thina V;PST;REC;2;PL,No Lexicon Match
itangigwatirira,rira,"cry, wail, trickle away, disappear, fade",itangigwatirira N;SG;BANTU9,Substring Overlap
rwenji,cenjia,"change, turn round",enja V;PRS;PROG;1;SG,Substring Overlap
kwendwo,enda,"love, want, need, wish",enda V;PRS;HAB;3;SG,PanLex Exact Match
Kihooto,hooto,[Translation Missing],Kihooto N;SG;BANTU10,No Lexicon Match
Irima,irima,"hole, pit, nest",irima N;SG;BANTU10,PanLex Exact Match
utindaga,tindaga,[Translation Missing],tindaga V;PRS,No Lexicon Match
nguririri,riri,bed,nguririri N;SG;BANTU10,Substring Overlap
Karara,itarara,python,Karara,Substring Overlap
Kiuga,uga,[Translation Missing],uga V;PRS;HAB;3;SG,No Lexicon Match
oi,oi,[Translation Missing],oi DET;PROX;BANTU1,No Lexicon Match
Murimi,muri,root,uMurimi N;SG;BANTU1,Substring Overlap
kuguru,guru,"sky, foot, leg, above, up, old, tortoise",guru ADJ;BANTU15,PanLex Exact Match
itiugagirwo,itiugagirwo,[Translation Missing],itiugagirwo N;SG;BANTU9,No Lexicon Match
gwakundeera,kundeera,[Translation Missing],gwakundeera V;PST;REC;3;SG,No Lexicon Match
gwithamba,amba,"apply, spread over, apply (by stretching)",gwithamba N;SG;BANTU1,Substring Overlap
ihuragia,hura,"wash, wash (clothes), rub, beat",huragia V;PRS,Substring Overlap
nyite,kunyita,"arrest, hold",nyite N;SG;BANTU9,Substring Overlap
gwiteithura,hura,"wash, wash (clothes), rub, beat",gwiteithura V;PRS,Substring Overlap
kao,wao,[Translation Missing],kao DET;POSS;PSS1P;BANTU1,No Lexicon Match
munyiti,munyiti,[Translation Missing],munyiti N;SG;BANTU1,No Lexicon Match
kwi,kwi,[Translation Missing],kwi DET;POSS;PSS1P;BANTU15,No Lexicon Match
wambagiririo,amba,"apply, spread over, apply (by stretching)",ambagiririo V;PST;REC;2;SG,Substring Overlap
Gucukagwo,gucukagwo,[Translation Missing],Gucukagwo N;SG;BANTU14,No Lexicon Match
gatingikurutira,hurutira,"fan, wave",gatingikurutira V;PST,Substring Overlap
murarire,itarara,python,murara V;PST;REC;2;PL,Substring Overlap
Muremwo,umuremwo,[Translation Missing],uMuremwo,No Lexicon Match
Mucii,mucii,home,uMucii N;SG;BANTU1,PanLex Exact Match
Matienda,enda,"love, want, need, wish",tienda V;PRS;HAB;3;SG,PanLex Exact Match
kigunaga,gunaga,[Translation Missing],gunaga V;PRS,No Lexicon Match
gitahi,gitahi,[Translation Missing],gitahi N;SG;BANTU1,No Lexicon Match
Mucakwe,cakwe,[Translation Missing],uMucakwe N;SG;BANTU1,No Lexicon Match
muhiti,muhiti,"hunter, (professional) hunter",muhiti N;SG;BANTU1,PanLex Exact Match
githaragio,githaragio,[Translation Missing],githaragio N;SG;BANTU10,No Lexicon Match
irumaga,ruma,"bite, abuse",irumaga N;SG;BANTU9,Substring Overlap
murimu,muri,root,uMurimu N;SG;BANTU1,Substring Overlap
kurua,rua,fight,rua V;NFIN,PanLex Exact Match
ihii,ihii,[Translation Missing],ihii N;SG;BANTU10,No Lexicon Match
riumaga,riumaga,[Translation Missing],riumaga V;PRS,No Lexicon Match
guoya,oya,"carry, take",guoya N;SG;BANTU14,PanLex Exact Match
ritiringanaga,gana,hundred,ritiringanaga V;PRS,Substring Overlap
ititiganaga,gana,hundred,titiganaga V;PRS,Substring Overlap
karirui,karirui,[Translation Missing],karirui N;SG;BANTU15,No Lexicon Match
Migambo,ambo,peg,uMigambo N;PL;BANTU4,Substring Overlap
wake,wake,[Translation Missing],wake DET;POSS;PSS1S;BANTU1,No Lexicon Match
ikuragira,ragira,[Translation Missing],ragira V;PRS;HAB;3;SG,No Lexicon Match
guthura,hura,"wash, wash (clothes), rub, beat",guthura,Substring Overlap
Gicegu,gicegu,[Translation Missing],Gicegu N;SG;BANTU10,No Lexicon Match
mwene,mwene,self,mwene DET;POSS;PSS1P;BANTU1,PanLex Exact Match
Guthekio,guthekio,[Translation Missing],Guthekio N;SG;BANTU14,No Lexicon Match
kierwo,erwo,[Translation Missing],erwo V;PRS;HAB;3;SG,No Lexicon Match
inyuaga,nyuaga,[Translation Missing],inyuaga N;SG;BANTU9,No Lexicon Match
riega,ega,[Translation Missing],ega V;PRS,No Lexicon Match
guita,guita,[Translation Missing],guita V;PRS,No Lexicon Match
urutagwo,ruta,"take off, take off (clothes)",urutagwo N;SG;BANTU11,Substring Overlap
uringagirira,agirira,"befit, suit",ringagirira V;PRS,Substring Overlap
tiwe,tiwa,[Translation Missing],tiwe DET;POSS;PSS1P;BANTU10,No Lexicon Match
igiri,igiri,two,igiri,PanLex Exact Match
guthira,uthi,pestle,guthira,Substring Overlap
ndarwa,rwa,[Translation Missing],rwa V;PRS,No Lexicon Match
mucuthiriria,iria,"that, milk, breast, lake",mucuthiriria V;PRS,Substring Overlap
aimaga,imaga,[Translation Missing],imaga V;PRS,No Lexicon Match
ndira,ndira,[Translation Missing],ndira N;SG;BANTU9,No Lexicon Match
akuratha,ratha,[Translation Missing],ratha V;PRS;PROG;3;SG,No Lexicon Match
mumi,mumi,[Translation Missing],mumi N;SG;BANTU1,No Lexicon Match
ngwatiro,ngwatiro,[Translation Missing],ngwatiro N;SG;BANTU10,No Lexicon Match
kurara,itarara,python,rara V;NFIN,Substring Overlap
ugaruragirwo,ugaruragirwo,[Translation Missing],ugaruragirwo N;SG;BANTU1,No Lexicon Match
Gwethera,gwethera,[Translation Missing],Gwethera,No Lexicon Match
ndongoria,ongo,head,ndongoria V;PRS,Substring Overlap
Murimu,muri,root,uMurimu N;SG;BANTU1,Substring Overlap
nduriukagwo,nduriukagwo,[Translation Missing],nduriukagwo N;SG;BANTU10,No Lexicon Match
kwihaka,haka,"polish, boundary",ihaka N;SG;BANTU15,Substring Overlap
Kindongo,ongo,head,Kindongo N;SG;BANTU10,Substring Overlap
Kuira,ira,"say, tell, say (to), tell (to), yesterday, yesterday",ira V;PRS;HAB;3;SG,PanLex Exact Match
niko,gikuniko,"cork, stopper",niko DET;POSS;PSS1P;BANTU9,Substring Overlap
inya,inya,four,inya N;SG;BANTU9,PanLex Exact Match
Ikururio,urio,righthand,ikururio N;SG;BANTU10,Substring Overlap
mondo,ondo,"basket, basket (of open wicker-work)",mondo N;SG;BANTU1,Substring Overlap
aka,aka,"construct, put together, year, build",aka V;PRS,PanLex Exact Match
Gucekeha,gucekeha,[Translation Missing],Gucekeha V;PRS,No Lexicon Match
muniri,muniri,[Translation Missing],muniri N;SG;BANTU1,No Lexicon Match
athamaki,thamaki,"king, fish, vertebrate animal",thamaki V;PRS,PanLex Exact Match
kahia,kahia,[Translation Missing],kahia V;PST;REC;3;SG,No Lexicon Match
murata,mura,wring,murata N;SG;BANTU1,Substring Overlap
ndundu,undu,affair,ndundu N;SG;BANTU9,Substring Overlap
kwarama,kurarama,"roar, rumble",rama V;PST;REC;3;SG,Substring Overlap
uteaga,teaga,[Translation Missing],teaga V;PRS,No Lexicon Match
Ithinjiro,ithinjiro,[Translation Missing],ithinjiro N;SG;BANTU10,No Lexicon Match
como,como,[Translation Missing],como,No Lexicon Match
hiti,hiti,"hunter, (professional) hunter",hiti DET;POSS;PSS1P;BANTU1,PanLex Exact Match
guthinga,hinga,obstruct,guthinga V;PRS,Substring Overlap
utathinja,thinja,slaughter,thinja V;FUT,PanLex Exact Match
kabariti,bari,clan,bariti V;PST;REC;3;SG,Substring Overlap
ngahanda,handa,"plant, sow",handa V;PST;REC;1;SG,PanLex Exact Match
igiraga,igiraga,[Translation Missing],igiraga N;SG;BANTU9,No Lexicon Match
Gukura,guku,"fowl, hen, hump, hump (of hunchback)",Gukura V;PRS;HAB;3;SG,Substring Overlap
Ihii,hii,[Translation Missing],ihii N;SG;BANTU10,No Lexicon Match
utonga,tonga,"Tonga, country, 𐐓𐐪𐑍𐑀𐐲",tonga V;PRS,PanLex Exact Match
utuku,utuku,night,utuku N;SG;BANTU1,PanLex Exact Match
wiriraga,rira,"cry, wail, trickle away, disappear, fade",wiriraga V;PRS;HAB;2;SG,Substring Overlap
kwara,kwara,[Translation Missing],kwara,No Lexicon Match
yongagirirwo,giri,"two, warthog, enclosure, fence",yongagirirwo V;PRS;HAB;3;SG,Substring Overlap
cira,cira,[Translation Missing],cira,No Lexicon Match
ndaregaga,rega,"refuse, say no",regaga V;PST,Substring Overlap
gutongitwo,gutongitwo,[Translation Missing],gutongitwo V;PRS,No Lexicon Match
kigwa,kigwa,sugar cane,gwa V;PRS;HAB;3;SG,PanLex Exact Match
gutonga,tonga,"Tonga, country, 𐐓𐐪𐑍𐑀𐐲",gutonga N;SG;BANTU14,PanLex Exact Match
Menya,enya,shave,menya V;PST;REM;3;SG,PanLex Exact Match
Munyotu,umunyotu,[Translation Missing],uMunyotu N;SG;BANTU1,No Lexicon Match
Munua,umunua,[Translation Missing],uMunua N;SG;BANTU1,No Lexicon Match
igucagio,cagi,village,igucagio N;SG;BANTU9,Substring Overlap
Miano,wano,[Translation Missing],uMiano N;SG;BANTU4,No Lexicon Match
mwehereri,here,itch,mwehereri N;SG;BANTU1,Substring Overlap
kioragire,oraga,[Translation Missing],oraga V;PST;REC;3;SG,No Lexicon Match
kiharo,kiha,vein,kiharo,Substring Overlap
kiigaga,igaga,[Translation Missing],igaga V;NFIN,No Lexicon Match
njara,njara,[Translation Missing],njara N;SG;BANTU9,No Lexicon Match
kuruga,ruga,"cook, stir",ruga V;NFIN,PanLex Exact Match
Gikuru,gikuru,[Translation Missing],Gikuru N;SG;BANTU1,No Lexicon Match
thakirio,thakirio,[Translation Missing],thakirio V;PRS,No Lexicon Match
agithii,githii,[Translation Missing],githii V;PRS;HAB;3;SG,No Lexicon Match
ritiringaga,ringa,"cross, cross (a river)",ritiringaga V;PRS,Substring Overlap
gatari,gatari,[Translation Missing],gatari N;SG;BANTU1,No Lexicon Match
gitingireka,tingireka,[Translation Missing],gitingireka V;PRS,No Lexicon Match
gati,gatagati,"inside, in the middle of",gati PRO;INT;GREET,Substring Overlap
ti,ti,"tree-trunk, (base of) tree-trunk, tree",ti PRO;INT;INT,PanLex Exact Match
Ihiga,higa,stone,higa V;PST;REC;3;SG,PanLex Exact Match
ukayaga,aga,[Translation Missing],yaga V;PST;REM;2;SG,No Lexicon Match
murokero,murokero,[Translation Missing],murokero N;SG;BANTU1,No Lexicon Match
kiui,kiui,[Translation Missing],kiui N;SG;BANTU15,No Lexicon Match
rinogagia,gagia,[Translation Missing],gagia V;PRS;HAB;3;SG,No Lexicon Match
muthigi,muthi,today,muthigi N;SG;BANTU1,Substring Overlap
mukundu,muku,ashes,mukundu N;SG;BANTU1,Substring Overlap
munyite,nya,"four, calabash",nya V;PST;REC;2;PL,PanLex Exact Match
Kurikanira,rika,mourning,rikanira V;PRS;PROG;3;SG,Substring Overlap
mahuririoini,huri,lung,mahuririoini N;PL;BANTU6,Substring Overlap
ndithuire,thua,termite,thua V;PST;REC;1;SG,PanLex Exact Match
Muhenio,heni,lightning,henio V;PRS;HAB;3;SG,Substring Overlap
kaharurukagia,ruka,"rest, take a holiday",harurukagia V;PST;REC;3;SG,Substring Overlap
kigeturaga,tura,town,geturaga V;NFIN,Substring Overlap
kurugite,ruga,"cook, stir",ruga V;NFIN,PanLex Exact Match
riua,riua,[Translation Missing],riua V;PRS,No Lexicon Match
ugitonya,tonya,[Translation Missing],tonya V;PRS,No Lexicon Match
mwati,mwati,[Translation Missing],mwati N;SG;BANTU1,No Lexicon Match
mugathi,mugathi,"bead, bead(s)",mugathi N;SG;BANTU1,PanLex Exact Match
ndikiraga,kuuraga,"break, snap",ndikiraga N;SG;BANTU10,Substring Overlap
akirwo,wakirwo,[Translation Missing],akirwo N;SG;BANTU1,No Lexicon Match
uriri,uriri,bed,uriri N;SG;BANTU1,PanLex Exact Match
kunyitia,nyitia,[Translation Missing],nyitia V;NFIN,No Lexicon Match
Itakuura,ura,"get lost, frog, leak, ooze out",ura V;NFIN,PanLex Exact Match
guciarira,ciari,"parent, parent (he who begets)",guciarira,Substring Overlap
kuororoa,ororoa,[Translation Missing],ororoa V;NFIN,No Lexicon Match
Mba,ba,[Translation Missing],ba V;PRS,No Lexicon Match
Kwigeria,nigeria,"Nigeria, in Western Africa, Kanuri",igeria N;SG;BANTU15,Substring Overlap
Kiriro,riro,"cry, sound",Kiriro,Substring Overlap
gatiumagia,umagia,[Translation Missing],gatiumagia V;PST,No Lexicon Match
Gwika,gwika,[Translation Missing],Gwika V;PRS,No Lexicon Match
guoko,guoko,"arm, hand",guoko,PanLex Exact Match
Murunguru,guru,"sky, foot, leg, above, up, old, tortoise",uMurunguru N;SG;BANTU1,Substring Overlap
kiuru,kiuru,[Translation Missing],kiuru N;SG;BANTU15,No Lexicon Match
murio,murio,"pleasant, sweet",murio N;SG;BANTU1,PanLex Exact Match
Mundwithia,thia,"point, tip, highest point, utmost, keep livestock",uMundwithia N;SG;BANTU1,Substring Overlap
kuura,ura,"get lost, frog, leak, ooze out",ura V;NFIN,PanLex Exact Match
kiariire,ariary ya bukini,Malagasy Ariary,aria V;PST;REC;3;SG,Substring Overlap
Miguire,gua,"fall, hear",uMigua N;SG;BANTU1,PanLex Exact Match
aheo,heo,[Translation Missing],aheo DET;POSS;PSS2P;BANTU6,No Lexicon Match
mutwe,mutwe,[Translation Missing],mutwe N;SG;BANTU1,No Lexicon Match
riene,ena,[Translation Missing],ene ADJ;BANTU5,No Lexicon Match
toi,toi,[Translation Missing],toi DET;PROX;BANTU1,No Lexicon Match
ndiatigire,tiga,"leave, leave (off)",tiga V;PST;REC;1;SG,PanLex Exact Match
kiiyuragio,yuragio,[Translation Missing],kiiyuragio N;SG;BANTU15,No Lexicon Match
miti,miti,"herb, plant",miti N;PL;BANTU4,PanLex Exact Match
ainukaga,nukaga,[Translation Missing],nukaga V;PRS,No Lexicon Match
andu,wandu,[Translation Missing],andu PRO;INT;INTENS,No Lexicon Match
itimuragira,itimu,spear,itimuragira N;SG;BANTU9,Substring Overlap
Muihwa,ihwa,[Translation Missing],uMuihwa N;SG;BANTU1,No Lexicon Match
kwao,wao,[Translation Missing],kwao DET;POSS;PSS1P;BANTU15,No Lexicon Match
mubarano,bara,war,mubarano N;SG;BANTU1,Substring Overlap
gakunyaga,kirinyaga,Mount Kenya,gakunyaga N;SG;BANTU15,Substring Overlap
Kindu,kindu,thing,Kindu N;SG;BANTU15,PanLex Exact Match
hinya,inya,four,hinya V;PRS,Substring Overlap
Kiririria,iria,"that, milk, breast, lake",Kiririria V;PRS;PROG;3;SG,Substring Overlap
kugereka,gerekania,"juxtapose, put together, put together (for comparison)",gereka V;NFIN,Substring Overlap
kiega,ega,[Translation Missing],ega V;PRS;HAB;3;SG,No Lexicon Match
kugua,gua,"fall, hear",gua V;NFIN,PanLex Exact Match
kanono,kanono,[Translation Missing],kanono N;SG;BANTU15,No Lexicon Match
thio,ethiopia,"Ethiopia, country in Eastern Africa",thio DET;POSS;PSS1P;BANTU1,Substring Overlap
karathime,thima,well,thima V;PST;REC;3;SG,PanLex Exact Match
unyakukagwo,unyakukagwo,[Translation Missing],unyakukagwo N;SG;BANTU1,No Lexicon Match
Githuri,githuri,chest,Githuri N;SG;BANTU1,PanLex Exact Match
utugi,utugi,[Translation Missing],utugi N;SG;BANTU1,No Lexicon Match
Mukurira,kurira,"disappear, fade",uMukurira N;SG;BANTU1,PanLex Exact Match
nguhi,nguhi,short,nguhi N;SG;BANTU10,PanLex Exact Match
mugwi,mugwi,arrow,mugwi N;SG;BANTU1,PanLex Exact Match
migwi,mgwi,[Translation Missing],migwi N;PL;BANTU4,No Lexicon Match
Mbere,bere ya,in front of,uMbere,Substring Overlap
Kuhoya,hoya,ask for,hoya V;NFIN,PanLex Exact Match
hindi,hindi,bone,hindi N;SG;BANTU1,PanLex Exact Match
Ithaga,thaga,[Translation Missing],thaga V;PRS,No Lexicon Match
uthiu,uthiu,face,uthiu N;SG;BANTU1,PanLex Exact Match
mbeu,mbeu,[Translation Missing],mbeu N;SG;BANTU1,No Lexicon Match
yumaga,yumaga,[Translation Missing],yumaga N;SG;BANTU1,No Lexicon Match
mambagio,amba,"apply, spread over, apply (by stretching)",mambagio N;PL;BANTU6,Substring Overlap
iguitirira,itirira,giraffe,guitirira V;PRS,Substring Overlap
ndutuuraga,uraga,"kill, break, snap",ndutuuraga N;SG;BANTU10,Substring Overlap
mbu,mbu,[Translation Missing],mbu N;SG;BANTU1,No Lexicon Match
Matari,dagitari,"doctor, physician, physican",uMatari N;PL;BANTU2,Substring Overlap
ritituhagia,hagia,[Translation Missing],ritituhagia V;PRS,No Lexicon Match
githimi,githimi,"measure, size",githimi N;SG;BANTU1,PanLex Exact Match
mugi,mugikuyu,"Kikuyu, Bantu people",mugi N;SG;BANTU1,Substring Overlap
nuu,nuu,[Translation Missing],nuu DET;POSS;PSS1P;BANTU9,No Lexicon Match
mwamukaniro,mukaniro,[Translation Missing],mwamukaniro N;PL;BANTU1,No Lexicon Match
kiura,kiura,frog,kiura V;PRS,PanLex Exact Match
kuohwo,ohwo,[Translation Missing],ohwo V;NFIN,No Lexicon Match
arindagira,rindagira,[Translation Missing],rindagira V;PRS,No Lexicon Match
Gicigo,gicigo,[Translation Missing],Gicigo N;SG;BANTU10,No Lexicon Match
irugitwo,irugitwo,[Translation Missing],irugitwo N;SG;BANTU9,No Lexicon Match
amiaga,aga,[Translation Missing],amiaga N;PL;BANTU6,No Lexicon Match
Kiuma,uma,"become dry, dry up, go away, go out",uma V;PRS;HAB;3;SG,PanLex Exact Match
uminaga,uminaga,[Translation Missing],uminaga N;PL;BANTU1,No Lexicon Match
Guciara,ciara,bear child,Guciara,Substring Overlap
gitihoyaga,hoya,ask for,gitihoyaga N;SG;BANTU10,Substring Overlap
iguku,iguku,"hump, hump (of hunchback)",iguku N;SG;BANTU9,PanLex Exact Match
Andu,wandu,[Translation Missing],andu PRO;INT;INTENS,No Lexicon Match
Angimituiria,iria,"that, milk, breast, lake",tuiria V;CAUS;NFIN,Substring Overlap
kimira,kimira,[Translation Missing],kimira N;SG;BANTU15,No Lexicon Match
gitonga,tonga,"Tonga, country, 𐐓𐐪𐑍𐑀𐐲",gitonga N;SG;BANTU10,PanLex Exact Match
makuru,makuru,[Translation Missing],makuru N;PL;BANTU6,No Lexicon Match
yakwa,wakwa,[Translation Missing],wakwa DET;POSS;PSS1P;BANTU9,No Lexicon Match
etereire,terea,[Translation Missing],terea V;PST;REC;3;SG,No Lexicon Match
mutiri,muti,"tree-trunk, (base of) tree-trunk, tree, plant, organism capable of photosynthesis, herb",mutiri N;SG;BANTU1,Substring Overlap
Aka,aka,"construct, put together, year, build",aka V;PRS,PanLex Exact Match
gitininukagio,nukagio,[Translation Missing],gitininukagio N;PL;BANTU10,No Lexicon Match
itigi,itigi,[Translation Missing],itigi N;SG;BANTU9,No Lexicon Match
Kahiga,higa,stone,higa V;PST;REC;3;SG,PanLex Exact Match
ndiikagio,gio,[Translation Missing],ndiikagio N;SG;BANTU10,No Lexicon Match
rithekagia,theka,laugh,thekagia V;PRS,Substring Overlap
kieringia,eringia,[Translation Missing],eringia V;PRS,No Lexicon Match
etiagira,kuhagira nyungu,"put on the fire, put (a pot) on the fire",etiagira V;PRS,Substring Overlap
maimwo,imwo,[Translation Missing],maimwo N;PL;BANTU6,No Lexicon Match
itimuragia,mura,wring,itimuragia N;SG;BANTU9,Substring Overlap
iikagirio,giri,"two, warthog, enclosure, fence",ikagirio N;SG;BANTU9,Substring Overlap
uragaga,ragaga,[Translation Missing],uragaga N;SG;BANTU1,No Lexicon Match
ta,ta,"call, bow, spittle, pour, bending, hip, bowstring",ta V;PRS,PanLex Exact Match
ime,ime,dew,ime DET;POSS;PSS1P;BANTU9,PanLex Exact Match
ukuu,ukuu,[Translation Missing],ukuu N;SG;BANTU1,No Lexicon Match
itimenyagirwo,enya,shave,itimenyagirwo N;SG;BANTU9,Substring Overlap
Muhiriga,riga,"jump, leap",hiriga V;PRS;HAB;3;SG,Substring Overlap
ngigi,ngigi,locust,ngigi N;SG;BANTU9,PanLex Exact Match
ndoragagwo,ragagwo,[Translation Missing],ndoragagwo N;SG;BANTU10,No Lexicon Match
indi,eneo la uingereza katika bahari hindi,𐐒𐑉𐐮𐐼𐐮𐑇 𐐆𐑌𐐼𐐨𐐲𐑌 𐐄𐑇𐐲𐑌 𐐓𐐯𐑉𐐲𐐻𐐱𐑉𐐨,indi N;SG;BANTU9,Substring Overlap
Gatinyinyiraga,gatinyinyiraga,[Translation Missing],Gatinyinyiraga V;PRS;HAB;3;SG,No Lexicon Match
Mageria,nigeria,"Nigeria, in Western Africa, Kanuri",geria V;PRS;HAB;3;SG,Substring Overlap
ndaiguaga,guaga,[Translation Missing],guaga V;PST,No Lexicon Match
nja,nja,"courtyard, outside",nja DET;POSS;PSS1P;BANTU9,PanLex Exact Match
utainagia,inagia,[Translation Missing],inagia V;FUT,No Lexicon Match
Kiongo,kiongo,head,ungo N;SG;BANTU15,PanLex Exact Match
we,we,you,we DET;POSS;PSS1P;BANTU1,PanLex Exact Match
Muragani,mura,wring,uMuragani N;SG;BANTU1,Substring Overlap
ndakayaga,aga,[Translation Missing],yaga V;PST;REM;1;SG,No Lexicon Match
rubia,rubia rwa india,Indian Rupee,rubia V;PRS,Substring Overlap
kironda,onda,sore,kironda N;SG;BANTU15,Substring Overlap
utuuragia,tuuragia,[Translation Missing],tuuragia V;PRS,No Lexicon Match
gekinya,inya,four,gekinya V;PRS;HAB;3;SG,Substring Overlap
mararu,raru,[Translation Missing],mararu N;PL;BANTU6,No Lexicon Match
kainagia,inagia,[Translation Missing],inagia V;PST;REC;3;SG,No Lexicon Match
utahaga,haga,[Translation Missing],haga V;FUT,No Lexicon Match
